date,value
2023-05-03,33.86
2023-05-04,33.79
2023-05-07,33.5
2023-05-08,33.72
2023-05-09,33.07
2023-05-10,33.32
2023-05-11,33.56
2023-05-14,33.2
2023-05-15,33.69
2023-05-16,33.58
2023-05-17,33.89
2023-05-18,33.96
2023-05-21,34.11
2023-05-22,34.32
2023-05-23,34.07
2023-05-24,34.15
2023-05-25,34.22
2023-05-28,34.23
2023-05-29,34.09
2023-05-30,34.15
2023-05-31,33.94
2023-06-01,34.01
2023-06-04,34.28
2023-06-05,34.39
2023-06-06,33.73
2023-06-07,33.63
2023-06-08,33.38
2023-06-11,33.57
2023-06-12,33.9
2023-06-13,34.18
2023-06-14,33.97
2023-06-15,34.48
2023-06-18,34.67
2023-06-19,34.54
2023-06-20,34.46
2023-06-25,34.1
2023-06-26,33.69
2023-06-27,34.18
2023-06-28,34.15
2023-06-29,34.65
2023-07-02,34.89
2023-07-03,34.86
2023-07-04,35.12
2023-07-05,34.75
2023-07-06,34.75
2023-07-09,34.56
2023-07-10,34.63
2023-07-11,34.98
2023-07-12,34.56
2023-07-13,34.74
2023-07-16,34.68
2023-07-17,34.59
2023-07-18,34.6
2023-07-19,34.49
2023-07-20,34.06
2023-07-23,33.99
2023-07-24,33.93
2023-07-25,34.47
2023-07-26,34.17
2023-07-27,33.89
2023-07-30,34.18
2023-07-31,34.32
2023-08-01,34.2
2023-08-02,34.23
2023-08-03,34.13
2023-08-06,34.18
2023-08-07,33.73
2023-08-08,33.73
2023-08-09,33.45
2023-08-10,33.47
2023-08-13,32.9
2023-08-14,33.07
2023-08-15,33.01
2023-08-16,32.43
2023-08-17,32.93
2023-08-20,32.53
2023-08-21,32.22
2023-08-22,32.29
2023-08-23,31.87
2023-08-24,31.85
2023-08-27,31.35
2023-08-28,31.5
2023-08-29,32.79
2023-08-30,33.22
2023-09-03,33.27
2023-09-04,33.4
2023-09-05,33.31
2023-09-06,33.39
2023-09-07,33.01
2023-09-10,33.06
2023-09-11,33.31
2023-09-12,33.37
2023-09-13,32.85
2023-09-14,32.8
2023-09-17,32.86
2023-09-18,33.06
2023-09-19,32.73
2023-09-20,32.49
2023-09-21,32.16
2023-09-24,32.68
2023-09-25,32.83
2023-09-26,32.7
2023-09-27,33.09
2023-10-08,33.34
2023-10-09,33.17
2023-10-10,32.87
2023-10-11,33.12
2023-10-12,33.27
2023-10-15,33.04
2023-10-16,32.83
2023-10-17,32.74
2023-10-18,32.06
2023-10-19,31.73
2023-10-22,31.39
2023-10-23,30.54
2023-10-24,31.3
2023-10-25,31.63
2023-10-26,31.93
2023-10-29,32.52
2023-10-30,32.99
2023-10-31,32.81
2023-11-01,32.91
2023-11-02,32.57
2023-11-05,33.16
2023-11-06,33.8
2023-11-07,33.86
2023-11-08,33.9
2023-11-09,33.66
2023-11-12,33.67
2023-11-13,34.03
2023-11-14,34.06
2023-11-15,34.3
2023-11-16,34.02
2023-11-19,34.35
2023-11-20,34.72
2023-11-21,34.38
2023-11-22,34.05
2023-11-23,34.4
2023-11-26,33.97
2023-11-27,33.88
2023-11-28,34.24
2023-11-29,34.12
2023-11-30,33.93
2023-12-03,34.11
2023-12-04,34.13
2023-12-05,33.43
2023-12-06,33.49
2023-12-07,33.27
2023-12-10,33.15
2023-12-11,33.43
2023-12-12,33.48
2023-12-13,33.39
2023-12-14,33.28
2023-12-17,33.17
2023-12-18,32.65
2023-12-19,32.65
2023-12-20,32.33
2023-12-21,32.68
2023-12-24,32.4
2023-12-25,32.5
2023-12-26,32.16
2023-12-27,32.22
2023-12-28,32.92
2024-01-01,33.5
2024-01-02,33.53
2024-01-03,33.05
2024-01-04,33.0
2024-01-07,32.5
2024-01-08,31.75
2024-01-09,31.96
2024-01-10,31.74
2024-01-11,32.12
2024-01-14,32.0
2024-01-15,31.79
2024-01-16,31.66
2024-01-17,30.76
2024-01-18,30.61
2024-01-21,30.26
2024-01-22,28.56
2024-01-23,28.76
2024-01-24,29.04
2024-01-25,29.89
2024-01-28,29.59
2024-01-29,29.01
2024-01-30,28.04
2024-01-31,26.88
2024-02-01,26.49
2024-02-04,25.55
2024-02-05,23.54
2024-02-06,24.26
2024-02-07,23.93
2024-02-18,25.72
2024-02-19,26.35
2024-02-20,26.65
2024-02-21,26.99
2024-02-22,27.47
2024-02-25,28.18
2024-02-26,28.8
2024-02-27,29.44
2024-02-28,27.73
2024-02-29,28.62
2024-03-03,28.98
2024-03-04,29.12
2024-03-05,28.63
2024-03-06,28.95
2024-03-07,28.7
2024-03-10,28.83
2024-03-11,29.42
2024-03-12,29.78
2024-03-13,29.84
2024-03-14,29.64
2024-03-17,30.02
2024-03-18,30.55
2024-03-19,30.23
2024-03-20,30.59
2024-03-21,30.49
2024-03-24,30.12
2024-03-25,29.51
2024-03-26,29.58
2024-03-27,28.62
2024-03-28,29.1
2024-03-31,29.53
2024-04-01,30.2
2024-04-02,30.27
2024-04-07,30.04
2024-04-08,29.24
2024-04-09,29.74
2024-04-10,29.3
2024-04-11,29.59
2024-04-14,29.34
2024-04-15,28.55
2024-04-16,26.92
2024-04-17,28.37
2024-04-18,28.3
2024-04-21,28.15
2024-04-22,28.06
2024-04-23,28.33
2024-04-24,28.84
2024-04-25,28.94
2024-04-28,29.76
2024-04-29,30.56
2024-05-05,30.41
2024-05-06,31.21
2024-05-07,31.33
2024-05-08,30.93
2024-05-09,31.5
2024-05-12,31.27
2024-05-13,30.6
2024-05-14,30.83
2024-05-15,30.55
2024-05-16,30.55
2024-05-19,30.98
2024-05-20,31.0
2024-05-21,30.83
2024-05-22,30.91
2024-05-23,30.23
2024-05-26,29.84
2024-05-27,30.07
2024-05-28,29.68
2024-05-29,29.78
2024-05-30,29.7
2024-06-02,29.94
2024-06-03,29.41
2024-06-04,29.32
2024-06-05,28.83
2024-06-06,27.94
2024-06-10,28.24
2024-06-11,28.34
2024-06-12,28.68
2024-06-13,28.74
2024-06-16,28.66
2024-06-17,28.6
2024-06-18,28.86
2024-06-19,28.61
2024-06-20,28.09
2024-06-23,28.08
2024-06-24,27.12
2024-06-25,27.08
2024-06-26,27.75
2024-06-27,27.28
2024-06-30,27.45
2024-07-01,27.51
2024-07-02,27.47
2024-07-03,27.23
2024-07-04,26.55
2024-07-07,26.85
2024-07-08,26.15
2024-07-09,26.7
2024-07-10,26.65
2024-07-11,27.42
2024-07-14,27.32
2024-07-15,26.94
2024-07-16,26.9
2024-07-17,26.63
2024-07-18,26.66
2024-07-21,26.84
2024-07-22,27.01
2024-07-23,26.28
2024-07-24,25.89
2024-07-25,26.01
2024-07-28,26.55
2024-07-29,26.46
2024-07-30,26.51
2024-07-31,27.38
2024-08-01,27.43
2024-08-04,27.01
2024-08-05,26.26
2024-08-06,26.88
2024-08-07,26.91
2024-08-08,26.71
2024-08-11,26.51
2024-08-12,26.44
2024-08-13,26.66
2024-08-14,26.47
2024-08-15,26.67
2024-08-18,26.59
2024-08-19,26.52
2024-08-20,26.02
2024-08-21,25.95
2024-08-22,25.46
2024-08-25,25.5
2024-08-26,25.65
2024-08-27,25.24
2024-08-28,25.29
2024-08-29,25.81
2024-09-01,26.24
2024-09-02,25.84
2024-09-03,26.07
2024-09-04,25.85
2024-09-05,26.06
2024-09-08,25.49
2024-09-09,25.4
2024-09-10,25.61
2024-09-11,25.52
2024-09-12,25.27
2024-09-17,24.87
2024-09-18,24.82
2024-09-19,25.25
2024-09-22,25.22
2024-09-23,25.23
2024-09-24,26.08
2024-09-25,26.27
2024-09-26,27.1
2024-09-29,28.46
2024-10-07,31.34
2024-10-08,33.87
2024-10-09,30.92
2024-10-10,30.92
2024-10-13,29.58
2024-10-14,30.34
2024-10-15,29.75
2024-10-16,29.67
2024-10-17,29.56
2024-10-20,30.43
2024-10-21,30.92
2024-10-22,31.17
2024-10-23,31.22
2024-10-24,31.01
2024-10-27,31.72
2024-10-28,32.25
2024-10-29,31.69
2024-10-30,31.84
2024-10-31,32.39
2024-11-03,31.44
2024-11-04,32.31
2024-11-05,33.36
2024-11-06,33.33
2024-11-07,34.01
2024-11-10,34.17
2024-11-11,34.89
2024-11-12,34.57
2024-11-13,34.5
2024-11-14,33.6
2024-11-17,32.91
2024-11-18,32.38
2024-11-19,33.18
2024-11-20,33.56
2024-11-21,33.7
2024-11-24,32.52
2024-11-25,32.69
2024-11-26,32.58
2024-11-27,33.03
2024-11-28,32.93
2024-12-01,33.53
2024-12-02,34.23
2024-12-03,34.26
2024-12-04,33.88
2024-12-05,34.27
2024-12-08,34.48
2024-12-09,34.43
2024-12-10,34.69
2024-12-11,34.95
2024-12-12,35.09
2024-12-15,34.68
2024-12-16,34.44
2024-12-17,33.26
2024-12-18,33.45
2024-12-19,33.76
2024-12-22,34.23
2024-12-23,33.01
2024-12-24,33.48
2024-12-25,32.93
2024-12-26,33.5
2024-12-29,33.64
2024-12-30,33.35
2024-12-31,32.56
2025-01-02,31.56
2025-01-05,30.82
2025-01-06,30.9
2025-01-07,31.42
2025-01-08,31.32
2025-01-09,31.56
2025-01-12,30.77
2025-01-13,30.88
2025-01-14,32.1
2025-01-15,31.93
2025-01-16,32.0
2025-01-19,32.13
2025-01-20,32.58
2025-01-21,32.66
2025-01-22,32.43
2025-01-23,32.4
2025-01-26,32.78
2025-02-04,32.45
2025-02-05,32.49
2025-02-06,33.07
2025-02-09,33.47
2025-02-10,33.99
2025-02-11,33.88
2025-02-12,34.04
2025-02-13,33.55
2025-02-16,33.86
2025-02-17,34.15
2025-02-18,33.59
2025-02-19,34.17
2025-02-20,34.41
2025-02-23,34.73
2025-02-24,35.11
2025-02-25,35.04
2025-02-26,35.53
2025-02-27,35.17
2025-03-02,34.46
2025-03-03,34.47
2025-03-04,34.94
2025-03-05,35.03
2025-03-06,35.48
2025-03-09,35.33
2025-03-10,35.53
2025-03-11,35.62
2025-03-12,35.84
2025-03-13,35.35
2025-03-16,36.43
2025-03-17,36.44
2025-03-18,36.73
2025-03-19,36.5
2025-03-20,36.48
2025-03-23,35.68
2025-03-24,35.5
2025-03-25,35.24
2025-03-26,35.55
2025-03-27,35.46
2025-03-30,35.0
2025-03-31,34.63
2025-04-01,35.11
2025-04-02,35.21
2025-04-06,34.83
2025-04-07,30.74
2025-04-08,30.88
2025-04-09,31.48
2025-04-10,32.28
2025-04-13,32.53
2025-04-14,33.2
2025-04-15,33.22
2025-04-16,32.84
2025-04-17,33.01
2025-04-20,33.22
2025-04-21,33.82
2025-04-22,33.92
2025-04-23,34.17
2025-04-24,33.87
2025-04-27,34.58
2025-04-28,34.24
2025-04-29,34.65
2025-05-05,34.45
2025-05-06,35.36
2025-05-07,35.56
2025-05-08,35.78
2025-05-11,35.51
2025-05-12,35.84
2025-05-13,35.74
2025-05-14,35.72
2025-05-15,35.39
2025-05-18,35.7
2025-05-19,35.74
2025-05-20,36.16
2025-05-21,35.99
2025-05-22,35.54
2025-05-25,35.27
2025-05-26,35.59
2025-05-27,35.78
2025-05-28,35.49
2025-05-29,35.81
2025-06-02,35.36
2025-06-03,35.7
2025-06-04,36.01
2025-06-05,36.03
2025-06-08,36.0
2025-06-09,36.42
2025-06-10,36.17
2025-06-11,36.45
2025-06-12,36.64
2025-06-15,35.89
2025-06-16,36.03
2025-06-17,35.91
2025-06-18,35.9
2025-06-19,35.26
2025-06-22,35.04
2025-06-23,35.4
2025-06-24,36.27
2025-06-25,36.57
2025-06-26,36.53
2025-06-29,36.6
2025-06-30,37.05
2025-07-01,37.2
2025-07-02,37.06
2025-07-03,37.18
2025-07-06,36.97
2025-07-07,37.08
2025-07-08,37.59
2025-07-09,37.32
2025-07-10,37.43
2025-07-13,37.48
2025-07-14,37.89
2025-07-15,37.71
2025-07-16,37.98
2025-07-17,38.11
2025-07-20,38.34
2025-07-21,38.7
2025-07-22,38.85
2025-07-23,38.69
2025-07-24,38.94
2025-07-27,39.12
2025-07-28,39.24
2025-07-29,38.92
2025-07-30,38.61
2025-07-31,38.45
2025-08-03,38.41
2025-08-04,38.99
2025-08-05,39.26
2025-08-06,39.58
2025-08-07,39.54
2025-08-10,39.59
2025-08-11,40.2
2025-08-12,40.14
2025-08-13,40.4
2025-08-14,39.64
2025-08-17,40.31
2025-08-18,40.77
2025-08-19,40.79
2025-08-20,41.21
2025-08-21,41.1
2025-08-24,41.41
2025-08-25,41.55
2025-08-26,41.58
2025-08-27,40.81
2025-08-28,40.83
2025-08-31,41.5
2025-09-01,41.58
2025-09-02,40.9
2025-09-03,40.37
2025-09-04,39.84
2025-09-07,40.92
2025-09-08,41.67
2025-09-09,41.02
2025-09-10,40.95
2025-09-11,41.75
2025-09-14,41.51
2025-09-15,41.38
2025-09-16,42.07
2025-09-17,42.33
2025-09-18,41.84
2025-09-21,41.65
2025-09-22,41.84
2025-09-23,41.51
2025-09-24,41.96
2025-09-25,41.95
2025-09-28,41.72
2025-09-29,41.94
2025-10-08,42.11
2025-10-09,42.58
2025-10-12,42.46
2025-10-13,41.99
2025-10-14,41.43
2025-10-15,41.96
2025-10-16,41.48
2025-10-19,40.49
2025-10-20,41.01
2025-10-21,41.52
2025-10-22,41.44
2025-10-23,41.65
2025-10-26,41.16
2025-10-27,41.61
2025-10-28,41.23
2025-10-29,41.18
2025-10-30,40.47
2025-11-02,40.55
2025-11-03,40.65
2025-11-04,40.57
2025-11-05,40.78
2025-11-06,41.05
2025-11-09,40.89
2025-11-10,41.16
2025-11-11,41.03
2025-11-12,40.77
2025-11-13,40.94
2025-11-16,40.81
2025-11-17,40.96
2025-11-18,40.61
2025-11-19,40.03
2025-11-20,39.81
2025-11-23,38.6
2025-11-24,39.04
2025-11-25,39.43
2025-11-26,39.25
2025-11-27,39.57
2025-11-30,39.98
2025-12-01,40.28
2025-12-02,39.87
2025-12-03,39.71
2025-12-04,39.5
2025-12-07,39.91
2025-12-08,40.17
2025-12-09,40.04
2025-12-10,40.1
2025-12-11,39.37
2025-12-14,39.56
2025-12-15,39.41
2025-12-16,38.68
2025-12-17,39.04
2025-12-18,39.06
2025-12-21,39.74
2025-12-22,40.17
2025-12-23,39.98
2025-12-24,40.4
2025-12-25,40.77
2025-12-28,40.7
2025-12-29,40.56
2025-12-30,40.59
2026-01-04,40.4
2026-01-05,41.41
2026-01-06,41.68
2026-01-07,41.65
2026-01-08,41.85
2026-01-11,42.5
2026-01-12,42.85
2026-01-13,42.66
2026-01-14,43.04
2026-01-15,42.84
2026-01-18,42.95
2026-01-19,43.39
2026-01-20,43.27
2026-01-21,43.8
2026-01-22,43.83
2026-01-25,44.68
2026-01-26,44.17
2026-01-27,44.11
2026-01-28,43.8
2026-01-29,43.49
2026-02-01,43.24
2026-02-02,42.47
2026-02-03,43.2
2026-02-04,43.46
2026-02-05,43.12
2026-02-08,43.29
2026-02-09,43.73
2026-02-10,43.64
2026-02-11,43.67
2026-02-12,43.72
2026-02-23,43.25
2026-02-24,43.95
2026-02-25,44.31
2026-02-26,44.66
2026-03-01,45.32
2026-03-02,44.41
2026-03-03,42.84
2026-03-04,42.51
2026-03-05,43.05
2026-03-08,43.72
2026-03-09,43.38
2026-03-10,44.22
2026-03-11,44.08
2026-03-12,43.76
2026-03-15,43.73
2026-03-16,43.39
2026-03-17,42.46
2026-03-18,42.95
2026-03-19,42.04
2026-03-20,41.16
2026-03-23,39.24
2026-03-24,40.3
2026-03-25,41.13
2026-03-26,40.59
2026-03-27,41.22
2026-03-30,41.34
2026-03-31,41.0
2026-04-01,41.8
2026-04-02,41.21
2026-04-03,40.52
2026-04-07,40.96
2026-04-08,42.53
2026-04-09,42.2
2026-04-10,42.67
2026-04-13,42.66
2026-04-14,42.91
2026-04-15,42.78
2026-04-16,43.17
2026-04-17,43.31
2026-04-20,43.65
2026-04-21,43.72
2026-04-22,43.94
2026-04-23,43.64
2026-04-24,43.69
2026-04-27,44.28
