date,value
2023-05-08,392.35
2023-05-09,390.4
2023-05-10,384.9
2023-05-11,369.8
2023-05-12,372.35
2023-05-15,374.3
2023-05-16,366.0
2023-05-17,374.8
2023-05-18,369.5
2023-05-19,372.75
2023-05-22,367.75
2023-05-23,363.95
2023-05-24,356.55
2023-05-25,359.05
2023-05-26,367.15
2023-05-29,367.25
2023-05-30,366.0
2023-05-31,366.55
2023-06-01,371.25
2023-06-02,372.9
2023-06-05,376.15
2023-06-06,376.6
2023-06-07,375.5
2023-06-08,378.65
2023-06-09,377.15
2023-06-12,375.2
2023-06-13,382.85
2023-06-14,385.85
2023-06-15,389.1
2023-06-16,387.95
2023-06-19,386.3
2023-06-20,387.95
2023-06-21,390.5
2023-06-22,388.95
2023-06-23,380.65
2023-06-26,379.9
2023-06-27,379.1
2023-06-28,372.8
2023-06-29,369.75
2023-06-30,376.4
2023-07-03,379.15
2023-07-04,378.55
2023-07-05,375.95
2023-07-06,374.45
2023-07-07,378.1
2023-07-10,378.85
2023-07-11,377.1
2023-07-12,385.25
2023-07-13,395.2
2023-07-14,392.35
2023-07-17,384.05
2023-07-18,383.25
2023-07-19,381.6
2023-07-20,382.75
2023-07-21,381.75
2023-07-24,384.7
2023-07-25,392.4
2023-07-26,390.3
2023-07-27,384.65
2023-07-28,393.3
2023-07-31,401.6
2023-08-01,390.8
2023-08-02,384.4
2023-08-03,389.65
2023-08-04,384.65
2023-08-07,383.95
2023-08-08,377.9
2023-08-09,378.5
2023-08-10,375.55
2023-08-11,371.85
2023-08-14,372.75
2023-08-15,365.85
2023-08-16,364.75
2023-08-17,368.6
2023-08-18,371.95
2023-08-21,372.05
2023-08-22,375.75
2023-08-23,381.0
2023-08-24,376.85
2023-08-25,376.55
2023-08-28,380.05
2023-08-29,383.75
2023-08-30,383.9
2023-08-31,383.3
2023-09-01,385.05
2023-09-04,383.15
2023-09-05,383.65
2023-09-06,379.1
2023-09-07,375.85
2023-09-08,371.45
2023-09-11,380.2
2023-09-12,378.9
2023-09-13,378.3
2023-09-14,381.75
2023-09-15,379.65
2023-09-18,377.85
2023-09-19,375.15
2023-09-20,373.9
2023-09-21,369.05
2023-09-22,369.35
2023-09-25,367.4
2023-09-26,364.55
2023-09-27,364.45
2023-09-28,371.15
2023-09-29,373.3
2023-10-02,364.6
2023-10-03,361.65
2023-10-04,358.05
2023-10-05,356.6
2023-10-06,363.35
2023-10-09,365.6
2023-10-10,363.0
2023-10-11,361.05
2023-10-12,358.5
2023-10-13,357.0
2023-10-16,358.15
2023-10-17,359.1
2023-10-18,358.15
2023-10-19,358.5
2023-10-20,355.2
2023-10-23,358.0
2023-10-24,363.05
2023-10-25,358.6
2023-10-26,359.3
2023-10-27,364.3
2023-10-30,365.4
2023-10-31,365.25
2023-11-01,366.05
2023-11-02,368.7
2023-11-03,367.25
2023-11-06,371.2
2023-11-07,368.55
2023-11-08,363.65
2023-11-09,363.2
2023-11-10,359.6
2023-11-13,367.05
2023-11-14,367.6
2023-11-15,371.3
2023-11-16,369.55
2023-11-17,373.4
2023-11-20,380.75
2023-11-21,380.45
2023-11-22,376.75
2023-11-23,377.15
2023-11-24,379.05
2023-11-27,380.0
2023-11-28,384.75
2023-11-29,383.35
2023-11-30,385.35
2023-12-01,391.85
2023-12-04,382.5
2023-12-05,378.5
2023-12-06,372.95
2023-12-07,379.95
2023-12-08,383.4
2023-12-11,378.35
2023-12-12,379.3
2023-12-13,383.45
2023-12-14,387.3
2023-12-15,387.85
2023-12-18,384.65
2023-12-19,390.65
2023-12-20,388.1
2023-12-21,392.7
2023-12-22,390.05
2023-12-26,390.2
2023-12-27,395.5
2023-12-28,391.65
2023-12-29,389.1
2024-01-02,387.1
2024-01-03,387.25
2024-01-04,385.0
2024-01-05,380.15
2024-01-08,382.3
2024-01-09,376.1
2024-01-10,378.75
2024-01-11,379.0
2024-01-12,373.5
2024-01-15,378.3
2024-01-16,376.75
2024-01-17,374.15
2024-01-18,375.75
2024-01-19,379.0
2024-01-22,374.55
2024-01-23,380.55
2024-01-24,387.35
2024-01-25,386.85
2024-01-26,385.35
2024-01-29,388.5
2024-01-30,391.2
2024-01-31,389.4
2024-02-01,385.3
2024-02-02,381.85
2024-02-05,377.2
2024-02-06,378.35
2024-02-07,373.55
2024-02-08,370.75
2024-02-09,368.55
2024-02-12,372.0
2024-02-13,370.85
2024-02-14,370.3
2024-02-15,375.85
2024-02-16,382.15
2024-02-19,381.2
2024-02-20,385.75
2024-02-21,388.0
2024-02-22,389.45
2024-02-23,388.7
2024-02-26,383.6
2024-02-27,385.3
2024-02-28,383.9
2024-02-29,384.65
2024-03-01,385.85
2024-03-04,385.55
2024-03-05,384.3
2024-03-06,386.85
2024-03-07,392.55
2024-03-08,389.1
2024-03-11,393.1
2024-03-12,393.65
2024-03-13,405.8
2024-03-14,405.2
2024-03-15,412.05
2024-03-18,413.05
2024-03-19,406.85
2024-03-20,409.1
2024-03-21,406.35
2024-03-22,399.7
2024-03-25,401.1
2024-03-26,400.6
2024-03-27,401.25
2024-03-28,401.15
2024-04-01,405.7
2024-04-02,408.1
2024-04-03,421.2
2024-04-04,422.05
2024-04-05,424.05
2024-04-08,429.4
2024-04-09,430.05
2024-04-10,427.65
2024-04-11,426.35
2024-04-12,431.5
2024-04-15,437.75
2024-04-16,429.6
2024-04-17,434.1
2024-04-18,443.0
2024-04-19,449.25
2024-04-22,448.25
2024-04-23,442.35
2024-04-24,448.45
2024-04-25,455.95
2024-04-26,458.75
2024-04-29,467.85
2024-04-30,454.05
2024-05-01,456.8
2024-05-02,450.2
2024-05-03,456.75
2024-05-06,460.85
2024-05-07,459.0
2024-05-08,454.05
2024-05-09,460.3
2024-05-10,465.2
2024-05-13,477.15
2024-05-14,490.6
2024-05-15,492.2
2024-05-16,487.9
2024-05-17,508.1
2024-05-20,510.5
2024-05-21,510.2
2024-05-22,479.85
2024-05-23,477.55
2024-05-24,475.9
