date,value
2023-05-08,721.5
2023-05-09,714.0
2023-05-10,724.0
2023-05-11,698.5
2023-05-12,697.0
2023-05-15,725.0
2023-05-16,723.5
2023-05-17,747.5
2023-05-18,746.5
2023-05-19,736.0
2023-05-22,716.0
2023-05-23,707.0
2023-05-24,682.5
2023-05-25,681.0
2023-05-26,709.5
2023-05-29,719.0
2023-05-30,707.5
2023-05-31,711.0
2023-06-01,743.0
2023-06-02,745.5
2023-06-05,759.0
2023-06-06,766.5
2023-06-07,770.0
2023-06-08,791.0
2023-06-09,812.0
2023-06-12,785.5
2023-06-13,801.5
2023-06-14,804.5
2023-06-15,815.5
2023-06-16,815.0
2023-06-19,809.5
2023-06-20,806.5
2023-06-21,797.5
2023-06-26,797.0
2023-06-27,824.0
2023-06-28,830.5
2023-06-29,830.5
2023-06-30,822.5
2023-07-03,819.0
2023-07-04,821.0
2023-07-05,828.0
2023-07-06,829.5
2023-07-07,812.5
2023-07-10,795.5
2023-07-11,807.0
2023-07-12,825.0
2023-07-13,829.0
2023-07-14,849.0
2023-07-17,832.5
2023-07-18,845.0
2023-07-19,834.0
2023-07-20,849.5
2023-07-21,846.5
2023-07-24,843.0
2023-07-25,856.5
2023-07-26,866.0
2023-07-27,848.5
2023-07-28,834.5
2023-07-31,841.5
2023-08-01,838.5
2023-08-02,831.0
2023-08-03,810.5
2023-08-04,817.5
2023-08-07,719.5
2023-08-08,716.0
2023-08-09,723.0
2023-08-10,714.5
2023-08-11,739.0
2023-08-14,725.0
2023-08-15,740.0
2023-08-16,738.5
2023-08-17,768.5
2023-08-18,771.5
2023-08-21,777.0
2023-08-22,805.5
2023-08-23,817.0
2023-08-24,811.0
2023-08-25,827.0
2023-08-28,812.5
2023-08-29,810.5
2023-08-30,829.0
2023-08-31,849.0
2023-09-01,845.5
2023-09-04,844.5
2023-09-05,846.5
2023-09-06,853.5
2023-09-07,836.5
2023-09-08,827.5
2023-09-11,851.5
2023-09-12,859.0
2023-09-13,860.5
2023-09-14,863.5
2023-09-15,879.0
2023-09-18,871.5
2023-09-19,862.5
2023-09-20,873.5
2023-09-21,854.0
2023-09-22,871.5
2023-09-25,844.5
2023-09-26,841.0
2023-09-27,846.5
2023-09-28,852.0
2023-10-09,828.0
2023-10-10,819.0
2023-10-11,827.5
2023-10-12,837.0
2023-10-13,842.0
2023-10-16,862.0
2023-10-17,866.0
2023-10-18,861.0
2023-10-19,871.5
2023-10-20,839.0
2023-10-23,835.0
2023-10-24,864.5
2023-10-25,872.0
2023-10-26,876.5
2023-10-27,889.5
2023-10-30,900.0
2023-10-31,898.5
2023-11-01,919.5
2023-11-02,926.5
2023-11-03,924.5
2023-11-06,925.0
2023-11-07,923.5
2023-11-08,935.0
2023-11-09,939.0
2023-11-10,961.5
2023-11-13,966.5
2023-11-14,965.5
2023-11-15,971.5
2023-11-16,965.0
2023-11-17,952.0
2023-11-20,968.0
2023-11-21,978.5
2023-11-22,993.5
2023-11-23,976.5
2023-11-24,986.5
2023-11-27,980.5
2023-11-28,951.0
2023-11-29,955.5
2023-11-30,969.5
2023-12-01,975.5
2023-12-04,958.0
2023-12-05,966.0
2023-12-06,930.0
2023-12-07,952.0
2023-12-08,963.5
2023-12-11,955.0
2023-12-12,969.5
2023-12-13,948.0
2023-12-14,942.0
2023-12-15,935.0
2023-12-18,928.0
2023-12-19,923.0
2023-12-20,939.0
2023-12-21,968.0
2023-12-22,977.0
2023-12-25,970.5
2023-12-26,983.5
2023-12-27,985.5
2023-12-28,966.0
2023-12-29,979.0
