date,value
2023-05-08,3732.0
2023-05-09,3691.0
2023-05-10,3688.0
2023-05-11,3600.0
2023-05-12,3579.0
2023-05-15,3667.0
2023-05-16,3640.0
2023-05-17,3715.0
2023-05-18,3687.0
2023-05-19,3645.0
2023-05-22,3569.0
2023-05-23,3588.0
2023-05-24,3466.0
2023-05-25,3432.0
2023-05-26,3493.0
2023-05-29,3511.0
2023-05-30,3460.0
2023-05-31,3463.0
2023-06-01,3546.0
2023-06-02,3596.0
2023-06-05,3638.0
2023-06-06,3641.0
2023-06-07,3621.0
2023-06-08,3654.0
2023-06-09,3711.0
2023-06-12,3652.0
2023-06-13,3741.0
2023-06-14,3739.0
2023-06-15,3760.0
2023-06-16,3799.0
2023-06-19,3752.0
2023-06-20,3743.0
2023-06-21,3686.0
2023-06-26,3667.0
2023-06-27,3728.0
2023-06-28,3731.0
2023-06-29,3723.0
2023-06-30,3721.0
2023-07-03,3767.0
2023-07-04,3768.0
2023-07-05,3751.0
2023-07-06,3758.0
2023-07-07,3671.0
2023-07-10,3654.0
2023-07-11,3679.0
2023-07-12,3716.0
2023-07-13,3727.0
2023-07-14,3774.0
2023-07-17,3687.0
2023-07-18,3749.0
2023-07-19,3741.0
2023-07-20,3784.0
2023-07-21,3823.0
2023-07-24,3793.0
2023-07-25,3857.0
2023-07-26,3851.0
2023-07-27,3861.0
2023-07-28,3851.0
2023-07-31,3847.0
2023-08-01,3862.0
2023-08-02,3801.0
2023-08-03,3728.0
2023-08-04,3736.0
2023-08-07,3732.0
2023-08-08,3692.0
2023-08-09,3700.0
2023-08-10,3671.0
2023-08-11,3691.0
2023-08-14,3641.0
2023-08-15,3694.0
2023-08-16,3713.0
2023-08-17,3726.0
2023-08-18,3700.0
2023-08-21,3666.0
2023-08-22,3723.0
2023-08-23,3723.0
2023-08-24,3688.0
2023-08-25,3716.0
2023-08-28,3667.0
2023-08-29,3678.0
2023-08-30,3713.0
2023-08-31,3740.0
2023-09-01,3778.0
2023-09-04,3770.0
2023-09-05,3799.0
2023-09-06,3817.0
2023-09-07,3795.0
2023-09-08,3717.0
2023-09-11,3759.0
2023-09-12,3791.0
2023-09-13,3777.0
2023-09-14,3794.0
2023-09-15,3824.0
2023-09-18,3842.0
2023-09-19,3831.0
2023-09-20,3842.0
2023-09-21,3762.0
2023-09-22,3779.0
2023-09-25,3716.0
2023-09-26,3675.0
2023-09-27,3682.0
2023-09-28,3690.0
2023-10-09,3638.0
2023-10-10,3610.0
2023-10-11,3619.0
2023-10-12,3627.0
2023-10-13,3620.0
2023-10-16,3657.0
2023-10-17,3647.0
2023-10-18,3615.0
2023-10-19,3644.0
2023-10-20,3610.0
2023-10-23,3572.0
2023-10-24,3630.0
2023-10-25,3673.0
2023-10-26,3685.0
2023-10-27,3724.0
2023-10-30,3740.0
2023-10-31,3733.0
2023-11-01,3749.0
2023-11-02,3756.0
2023-11-03,3805.0
2023-11-06,3805.0
2023-11-07,3791.0
2023-11-08,3848.0
2023-11-09,3853.0
2023-11-10,3879.0
2023-11-13,3872.0
2023-11-14,3856.0
2023-11-15,3920.0
