date,value
2023-05-08,25.795
2023-05-09,25.855
2023-05-10,25.62
2023-05-11,24.36
2023-05-12,24.13
2023-05-15,24.265
2023-05-16,23.915
2023-05-17,23.93
2023-05-18,23.655
2023-05-19,24.015
2023-05-22,23.785
2023-05-23,23.585
2023-05-24,23.17
2023-05-25,22.84
2023-05-26,23.445
2023-05-29,23.295
2023-05-30,23.285
2023-05-31,23.615
2023-06-01,23.975
2023-06-02,23.695
2023-06-05,23.66
2023-06-06,23.675
2023-06-07,23.515
2023-06-08,24.36
2023-06-09,24.39
2023-06-12,24.145
2023-06-13,23.735
2023-06-14,24.01
2023-06-15,23.96
2023-06-16,24.265
2023-06-19,24.02
2023-06-20,23.205
2023-06-21,22.69
2023-06-22,22.28
2023-06-23,22.455
2023-06-26,22.825
2023-06-27,22.91
2023-06-28,22.74
2023-06-29,22.765
2023-06-30,22.975
2023-07-03,23.105
2023-07-04,23.17
2023-07-05,23.34
2023-07-06,22.915
2023-07-07,23.285
2023-07-10,23.33
2023-07-11,23.315
2023-07-12,24.33
2023-07-13,25.095
2023-07-14,25.15
2023-07-17,25.06
2023-07-18,25.265
2023-07-19,25.35
2023-07-20,24.94
2023-07-21,24.78
2023-07-24,24.51
2023-07-25,24.86
2023-07-26,25.085
2023-07-27,24.28
2023-07-28,24.46
2023-07-31,24.895
2023-08-01,24.425
2023-08-02,23.82
2023-08-03,23.675
2023-08-04,23.72
2023-08-07,23.195
2023-08-08,22.835
2023-08-09,22.725
2023-08-10,22.75
2023-08-11,22.74
2023-08-14,22.645
2023-08-15,22.58
2023-08-16,22.455
2023-08-17,22.735
2023-08-18,22.79
2023-08-21,23.365
2023-08-22,23.47
2023-08-23,24.38
2023-08-24,24.175
2023-08-25,24.28
2023-08-28,24.27
2023-08-29,24.76
2023-08-30,25.005
2023-08-31,24.82
2023-09-01,24.535
2023-09-04,24.335
2023-09-05,23.875
2023-09-06,23.49
2023-09-07,23.245
2023-09-08,23.19
2023-09-11,23.375
2023-09-12,23.365
2023-09-13,23.125
2023-09-14,22.935
2023-09-15,23.305
2023-09-18,23.52
2023-09-19,23.47
2023-09-20,23.515
