date,value
2023-05-08,1434.5
2023-05-09,1414.0
2023-05-10,1403.75
2023-05-11,1406.5
2023-05-12,1389.0
2023-05-15,1400.25
2023-05-16,1364.0
2023-05-17,1332.75
2023-05-18,1332.5
2023-05-19,1305.0
2023-05-22,1340.0
2023-05-23,1322.0
2023-05-24,1324.0
2023-05-25,1326.0
2023-05-26,1336.0
2023-05-30,1295.25
2023-05-31,1299.5
2023-06-01,1327.0
2023-06-02,1351.75
2023-06-05,1348.75
2023-06-06,1352.75
2023-06-07,1359.25
2023-06-08,1362.25
2023-06-09,1387.5
2023-06-12,1373.5
2023-06-13,1399.0
2023-06-14,1390.0
2023-06-15,1292.25
2023-06-16,1340.5
2023-06-20,1343.75
2023-06-21,1376.5
2023-06-22,1339.5
2023-06-23,1303.5
2023-06-26,1322.75
2023-06-27,1293.5
2023-06-28,1265.0
2023-06-29,1264.0
2023-06-30,1342.25
2023-07-03,1353.25
2023-07-05,1350.25
2023-07-06,1342.25
2023-07-07,1319.0
2023-07-10,1343.0
2023-07-11,1360.0
2023-07-12,1326.5
2023-07-13,1368.25
2023-07-14,1372.5
2023-07-17,1375.5
2023-07-18,1394.5
2023-07-19,1406.75
2023-07-20,1403.5
2023-07-21,1401.0
2023-07-24,1423.5
2023-07-25,1418.5
2023-07-26,1420.25
2023-07-27,1396.0
2023-07-28,1382.5
2023-07-31,1331.0
2023-08-01,1343.75
2023-08-02,1320.5
2023-08-03,1324.75
2023-08-04,1330.75
2023-08-07,1303.75
2023-08-08,1305.0
2023-08-09,1309.5
2023-08-10,1319.25
2023-08-11,1306.0
2023-08-14,1324.5
2023-08-15,1304.5
2023-08-16,1324.5
2023-08-17,1330.5
2023-08-18,1353.5
2023-08-21,1360.5
2023-08-22,1344.0
2023-08-23,1361.25
2023-08-24,1372.0
2023-08-25,1385.75
2023-08-28,1405.75
2023-08-29,1392.5
2023-08-30,1386.0
2023-08-31,1367.5
2023-09-01,1368.5
2023-09-05,1366.75
2023-09-06,1374.75
2023-09-07,1360.25
2023-09-08,1363.75
2023-09-11,1370.0
2023-09-12,1344.25
2023-09-13,1350.75
2023-09-14,1361.25
2023-09-15,1338.0
2023-09-18,1315.5
2023-09-19,1315.0
2023-09-20,1319.75
2023-09-21,1293.75
2023-09-22,1295.25
2023-09-25,1299.25
2023-09-26,1303.5
2023-09-27,1303.0
2023-09-28,1301.75
2023-09-29,1275.0
2023-10-02,1276.5
2023-10-03,1274.25
2023-10-04,1272.25
2023-10-05,1279.5
2023-10-06,1263.75
2023-10-09,1263.75
2023-10-10,1272.5
2023-10-11,1252.75
2023-10-12,1287.5
2023-10-13,1281.75
2023-10-16,1286.75
2023-10-17,1297.75
2023-10-18,1312.5
2023-10-19,1316.75
2023-10-20,1302.25
2023-10-23,1286.75
2023-10-24,1312.75
2023-10-25,1308.0
2023-10-26,1299.25
2023-10-27,1317.5
2023-10-30,1308.0
2023-10-31,1311.5
2023-11-01,1316.75
2023-11-02,1328.75
2023-11-03,1353.5
2023-11-06,1362.5
2023-11-07,1362.75
2023-11-08,1366.25
2023-11-09,1345.5
2023-11-10,1348.5
2023-11-13,1385.0
2023-11-14,1391.0
2023-11-15,1385.5
2023-11-16,1359.75
2023-11-17,1343.5
2023-11-20,1366.25
2023-11-21,1375.5
2023-11-22,1358.5
2023-11-24,1330.0
2023-11-27,1329.25
2023-11-28,1346.75
2023-11-29,1347.0
2023-11-30,1342.75
2023-12-01,1323.75
2023-12-04,1307.25
2023-12-05,1308.5
2023-12-06,1296.25
2023-12-07,1310.5
2023-12-08,1306.0
2023-12-11,1337.5
2023-12-12,1323.5
2023-12-13,1308.75
2023-12-14,1316.5
2023-12-15,1316.5
2023-12-18,1340.5
2023-12-19,1322.25
2023-12-20,1316.5
2023-12-21,1300.0
2023-12-22,1305.75
2023-12-26,1317.75
2023-12-27,1320.25
2023-12-28,1311.5
2023-12-29,1297.5
2024-01-02,1273.5
2024-01-03,1277.0
2024-01-04,1267.0
2024-01-05,1256.75
2024-01-08,1245.5
2024-01-09,1247.75
2024-01-10,1235.5
2024-01-11,1236.5
2024-01-12,1226.25
2024-01-16,1227.5
2024-01-17,1205.5
2024-01-18,1212.75
2024-01-19,1213.5
2024-01-22,1223.75
2024-01-23,1239.25
2024-01-24,1239.25
2024-01-25,1222.5
2024-01-26,1208.5
2024-01-29,1193.5
2024-01-30,1220.25
2024-01-31,1222.0
2024-02-01,1203.25
2024-02-02,1188.0
2024-02-05,1197.5
2024-02-06,1199.75
2024-02-07,1189.75
2024-02-08,1195.0
2024-02-09,1184.5
2024-02-12,1192.5
2024-02-13,1186.75
2024-02-14,1168.25
2024-02-15,1162.75
2024-02-16,1173.5
2024-02-20,1178.5
2024-02-21,1164.25
2024-02-22,1152.5
2024-02-23,1143.25
2024-02-26,1143.5
2024-02-27,1143.0
2024-02-28,1146.25
2024-02-29,1139.0
2024-03-01,1149.75
2024-03-04,1154.5
2024-03-05,1149.0
2024-03-06,1149.25
2024-03-07,1165.75
2024-03-08,1184.5
2024-03-11,1179.5
2024-03-12,1194.0
2024-03-13,1195.75
2024-03-14,1195.25
2024-03-15,1198.5
2024-03-18,1188.25
2024-03-19,1185.5
2024-03-20,1210.25
2024-03-21,1211.0
2024-03-22,1191.75
2024-03-25,1207.5
2024-03-26,1197.75
2024-03-27,1192.25
2024-03-28,1192.0
2024-04-01,1185.5
2024-04-02,1175.5
2024-04-03,1182.5
2024-04-04,1180.25
2024-04-05,1187.25
2024-04-08,1181.5
2024-04-09,1175.0
2024-04-10,1163.75
2024-04-11,1159.25
2024-04-12,1172.0
2024-04-15,1158.25
2024-04-16,1145.0
2024-04-17,1163.5
2024-04-18,1147.75
2024-04-19,1165.25
2024-04-22,1176.5
2024-04-23,1181.0
2024-04-24,1181.25
2024-04-25,1179.0
2024-04-26,1176.75
2024-04-29,1183.25
2024-04-30,1162.5
2024-05-01,1169.5
2024-05-02,1199.75
2024-05-03,1216.25
2024-05-06,1245.75
2024-05-07,1245.0
2024-05-08,1228.5
2024-05-09,1209.75
2024-05-10,1218.75
2024-05-13,1218.75
2024-05-14,1214.25
2024-05-15,1214.0
2024-05-16,1216.25
2024-05-17,1227.0
2024-05-20,1246.75
2024-05-21,1235.75
2024-05-22,1247.25
2024-05-23,1239.0
2024-05-24,1249.25
2024-05-28,1230.0
2024-05-29,1213.0
2024-05-30,1210.25
2024-05-31,1204.75
2024-06-03,1184.75
2024-06-04,1179.25
2024-06-05,1176.25
2024-06-06,1199.75
2024-06-07,1177.25
2024-06-10,1187.75
2024-06-11,1177.0
2024-06-12,1177.25
2024-06-13,1188.75
2024-06-14,1178.25
2024-06-17,1158.0
2024-06-18,1172.5
2024-06-20,1116.25
2024-06-21,1120.75
2024-06-24,1129.75
2024-06-25,1111.0
2024-06-26,1106.25
2024-06-27,1104.75
2024-06-28,1105.75
2024-07-01,1111.0
2024-07-02,1113.0
2024-07-03,1122.0
2024-07-05,1131.0
2024-07-08,1099.25
2024-07-09,1077.75
2024-07-10,1066.25
2024-07-11,1068.25
2024-07-12,1064.5
2024-07-15,1038.5
