date,value
2023-05-08,2028.3
2023-05-09,2041.8
2023-05-10,2036.7
2023-05-11,2020.3
2023-05-12,2015.6
2023-05-15,2021.2
2023-05-16,1993.0
2023-05-17,1985.6
2023-05-18,1960.2
2023-05-19,1979.8
2023-05-22,1973.5
2023-05-23,1977.4
2023-05-24,1959.1
2023-05-25,1941.5
2023-05-26,1946.1
2023-05-29,1961.1
2023-05-30,1977.6
2023-05-31,1981.0
2023-06-01,1995.1
2023-06-02,1964.1
2023-06-05,1977.9
2023-06-06,1979.7
2023-06-07,1955.5
2023-06-08,1980.1
2023-06-09,1975.7
2023-06-12,1971.7
2023-06-13,1956.7
2023-06-14,1955.5
2023-06-15,1970.4
2023-06-16,1970.2
2023-06-19,1962.1
2023-06-20,1948.1
2023-06-21,1943.5
2023-06-22,1923.8
2023-06-23,1930.3
2023-06-26,1932.9
2023-06-27,1923.1
2023-06-28,1916.5
2023-06-29,1916.2
2023-06-30,1927.7
2023-07-03,1929.2
2023-07-04,1933.6
2023-07-05,1922.6
2023-07-06,1916.7
2023-07-07,1930.8
2023-07-10,1930.7
2023-07-11,1937.4
2023-07-12,1962.9
2023-07-13,1965.0
2023-07-14,1959.3
2023-07-17,1958.8
2023-07-18,1982.4
2023-07-19,1980.4
2023-07-20,1972.0
2023-07-21,1963.6
2023-07-24,1956.4
2023-07-25,1966.4
2023-07-26,1973.2
2023-07-27,1945.1
2023-07-28,1997.9
2023-07-31,2003.6
2023-08-01,1981.4
2023-08-02,1970.8
2023-08-03,1969.2
2023-08-04,1978.0
2023-08-07,1971.6
2023-08-08,1959.5
2023-08-09,1947.6
2023-08-10,1944.5
2023-08-11,1945.7
2023-08-14,1938.9
2023-08-15,1933.1
2023-08-16,1922.0
2023-08-17,1918.7
2023-08-18,1918.3
2023-08-21,1923.9
2023-08-22,1926.3
2023-08-23,1944.9
2023-08-24,1944.5
2023-08-25,1942.9
2023-08-28,1947.9
2023-08-29,1965.4
2023-08-30,1970.2
2023-08-31,1966.4
2023-09-01,1965.8
2023-09-04,1964.2
2023-09-05,1951.4
2023-09-06,1941.8
2023-09-07,1943.8
2023-09-08,1942.3
2023-09-11,1945.3
2023-09-12,1936.1
2023-09-13,1930.6
2023-09-14,1932.3
2023-09-15,1945.2
2023-09-18,1955.2
2023-09-19,1952.5
2023-09-20,1951.1
2023-09-21,1939.9
2023-09-22,1944.8
2023-09-25,1934.9
2023-09-26,1918.8
2023-09-27,1893.2
2023-09-28,1881.7
2023-09-29,1864.6
2023-10-02,1843.9
2023-10-03,1838.7
2023-10-04,1836.6
2023-10-05,1834.1
2023-10-06,1846.7
2023-10-09,1875.0
2023-10-10,1873.8
2023-10-11,1887.7
2023-10-12,1881.5
2023-10-13,1945.8
2023-10-16,1932.9
2023-10-17,1935.7
2023-10-18,1960.2
2023-10-19,1986.7
2023-10-20,1992.7
2023-10-23,1984.1
2023-10-24,1982.0
2023-10-25,1990.9
2023-10-26,1994.8
2023-10-27,2016.1
2023-10-30,2005.7
2023-10-31,1992.7
2023-11-01,1991.2
2023-11-02,1993.1
2023-11-03,1999.7
2023-11-06,1984.7
2023-11-07,1975.5
2023-11-08,1956.1
2023-11-09,1963.8
2023-11-10,1942.5
2023-11-13,1950.2
2023-11-14,1967.1
2023-11-15,1963.0
2023-11-16,1984.2
2023-11-17,1983.2
2023-11-20,1980.2
2023-11-21,2000.3
2023-11-22,1991.5
2023-11-23,1993.3
2023-11-24,2003.4
2023-11-27,2014.3
2023-11-28,2062.0
2023-11-29,2065.3
2023-11-30,2056.0
2023-12-01,2091.7
2023-12-04,2047.8
2023-12-05,2037.5
2023-12-06,2043.2
2023-12-07,2045.2
2023-12-08,2020.7
2023-12-11,1997.5
2023-12-12,1994.9
2023-12-13,2043.0
2023-12-14,2051.1
2023-12-15,2033.6
2023-12-18,2040.9
2023-12-19,2053.6
2023-12-20,2044.2
2023-12-21,2057.6
2023-12-22,2064.3
2023-12-26,2079.0
2023-12-27,2089.2
2023-12-28,2075.7
2023-12-29,2071.7
2024-01-02,2067.6
2024-01-03,2049.4
2024-01-04,2050.8
2024-01-05,2052.6
2024-01-08,2034.1
2024-01-09,2035.9
2024-01-10,2029.6
2024-01-11,2033.0
2024-01-12,2053.4
2024-01-15,2059.0
2024-01-16,2031.7
2024-01-17,2008.8
2024-01-18,2025.1
2024-01-19,2031.8
2024-01-22,2023.0
2024-01-23,2030.5
2024-01-24,2014.3
2024-01-25,2020.9
2024-01-26,2018.1
2024-01-29,2051.4
2024-01-30,2055.2
2024-01-31,2057.7
2024-02-01,2072.2
2024-02-02,2057.0
2024-02-05,2041.4
2024-02-06,2052.4
2024-02-07,2050.8
2024-02-08,2049.6
2024-02-09,2038.6
2024-02-12,2033.8
2024-02-13,2005.8
2024-02-14,2005.0
2024-02-15,2015.9
2024-02-16,2025.2
2024-02-19,2029.3
2024-02-20,2035.8
2024-02-21,2036.8
2024-02-22,2034.2
2024-02-23,2045.7
2024-02-26,2040.9
2024-02-27,2039.4
2024-02-28,2043.5
2024-02-29,2052.6
2024-03-01,2091.6
2024-03-04,2122.9
2024-03-05,2136.3
2024-03-06,2156.4
2024-03-07,2167.3
2024-03-08,2186.1
2024-03-11,2189.0
2024-03-12,2163.7
2024-03-13,2179.4
2024-03-14,2166.3
2024-03-15,2159.4
2024-03-18,2163.8
2024-03-19,2160.8
2024-03-20,2189.4
2024-03-21,2183.2
2024-03-22,2166.5
2024-03-25,2173.0
2024-03-26,2179.5
2024-03-27,2215.4
2024-03-28,2254.7
2024-04-01,2272.5
2024-04-02,2301.1
2024-04-03,2320.9
2024-04-04,2310.3
2024-04-05,2349.1
2024-04-08,2358.4
2024-04-09,2371.6
2024-04-10,2352.4
2024-04-11,2390.3
2024-04-12,2360.0
2024-04-15,2399.3
2024-04-16,2399.5
2024-04-17,2375.9
2024-04-18,2394.3
2024-04-19,2406.6
2024-04-22,2341.1
2024-04-23,2335.7
2024-04-24,2328.9
2024-04-25,2344.5
2024-04-26,2349.6
2024-04-29,2347.1
2024-04-30,2297.0
2024-05-01,2329.8
2024-05-02,2313.2
2024-05-03,2310.0
2024-05-06,2332.6
2024-05-07,2322.3
2024-05-08,2315.8
2024-05-09,2353.0
2024-05-10,2366.8
2024-05-13,2342.1
2024-05-14,2363.5
2024-05-15,2391.5
2024-05-16,2380.8
2024-05-17,2419.7
2024-05-20,2430.2
2024-05-21,2425.1
2024-05-22,2382.0
2024-05-23,2330.6
2024-05-24,2335.1
2024-05-27,2352.2
2024-05-28,2362.3
2024-05-29,2336.9
2024-05-30,2364.4
2024-05-31,2347.6
2024-06-03,2371.2
2024-06-04,2346.3
2024-06-05,2375.2
2024-06-06,2395.0
2024-06-07,2311.1
2024-06-10,2327.9
2024-06-11,2333.8
2024-06-12,2340.7
2024-06-13,2319.6
2024-06-14,2348.3
2024-06-17,2333.6
2024-06-18,2344.0
2024-06-19,2342.6
2024-06-20,2373.5
2024-06-21,2334.6
2024-06-24,2347.2
2024-06-25,2331.5
2024-06-26,2309.6
