date,value
2005-04-08,30.39
2005-04-09,30.39
2005-04-10,30.39
2005-04-11,29.77
2005-04-12,29.03
2005-04-13,29.53
2005-04-14,28.95
2005-04-15,28.68
2005-04-16,28.68
2005-04-17,28.68
2005-04-18,30.03
2005-04-19,30.54
2005-04-20,31.27
2005-04-21,31.43
2005-04-22,30.65
2005-04-23,30.65
2005-04-24,30.65
2005-04-25,30.59
2005-04-26,32.17
2005-04-27,32.25
2005-04-28,33.06
2005-04-29,31.53
2005-04-30,31.53
2005-05-01,31.53
2005-05-02,31.53
2005-05-03,31.53
2005-05-04,31.53
2005-05-05,31.53
2005-05-06,31.53
2005-05-07,31.53
2005-05-08,31.53
2005-05-09,31.0
2005-05-10,31.06
2005-05-11,31.85
2005-05-12,31.52
2005-05-13,31.86
2005-05-14,31.86
2005-05-15,31.86
2005-05-16,31.51
2005-05-17,31.86
2005-05-18,32.19
2005-05-19,32.13
2005-05-20,31.86
2005-05-21,31.86
2005-05-22,31.86
2005-05-23,30.87
2005-05-24,31.49
2005-05-25,31.56
2005-05-26,31.17
2005-05-27,30.98
2005-05-28,30.98
2005-05-29,30.98
2005-05-30,31.37
2005-05-31,31.23
2005-06-01,30.51
2005-06-02,30.09
2005-06-03,29.89
2005-06-04,29.89
2005-06-05,29.89
2005-06-06,30.43
2005-06-07,30.48
2005-06-08,32.88
2005-06-09,33.29
2005-06-10,32.56
2005-06-11,32.56
2005-06-12,32.56
2005-06-13,32.61
2005-06-14,32.06
2005-06-15,31.17
2005-06-16,31.4
2005-06-17,31.29
2005-06-18,31.29
2005-06-19,31.29
2005-06-20,32.2
2005-06-21,31.83
2005-06-22,31.94
2005-06-23,31.55
2005-06-24,31.65
2005-06-25,31.65
2005-06-26,31.65
2005-06-27,32.43
2005-06-28,31.82
2005-06-29,31.68
2005-06-30,30.95
2005-07-01,28.49
2005-07-02,28.49
2005-07-03,28.49
2005-07-04,28.03
2005-07-05,27.75
2005-07-06,27.53
2005-07-07,27.63
2005-07-08,26.77
2005-07-09,26.77
2005-07-10,26.77
2005-07-11,26.4
2005-07-12,27.32
2005-07-13,27.08
2005-07-14,27.12
2005-07-15,26.6
2005-07-16,26.6
2005-07-17,26.6
2005-07-18,26.13
2005-07-19,26.3
2005-07-20,26.45
2005-07-21,26.44
2005-07-22,27.22
2005-07-23,27.22
2005-07-24,27.22
2005-07-25,27.19
2005-07-26,27.86
2005-07-27,28.46
2005-07-28,28.33
2005-07-29,28.18
2005-07-30,28.18
2005-07-31,28.18
2005-08-01,28.34
2005-08-02,28.97
2005-08-03,29.27
2005-08-04,29.11
2005-08-05,29.75
2005-08-06,29.75
2005-08-07,29.75
2005-08-08,29.92
2005-08-09,30.13
2005-08-10,30.48
2005-08-11,30.84
2005-08-12,30.19
2005-08-13,30.19
2005-08-14,30.19
2005-08-15,30.86
2005-08-16,30.83
2005-08-17,31.34
2005-08-18,29.86
2005-08-19,29.97
2005-08-20,29.97
2005-08-21,29.97
2005-08-22,30.24
2005-08-23,29.95
2005-08-24,30.34
2005-08-25,29.84
2005-08-26,30.03
2005-08-27,30.03
2005-08-28,30.03
2005-08-29,28.53
2005-08-30,28.53
2005-08-31,28.53
2005-09-01,29.18
2005-09-02,29.36
2005-09-03,29.36
2005-09-04,29.36
2005-09-05,29.68
2005-09-06,28.97
2005-09-07,29.55
2005-09-08,29.61
2005-09-09,29.35
2005-09-10,29.35
2005-09-11,29.35
2005-09-12,28.5
2005-09-13,29.06
2005-09-14,29.32
2005-09-15,29.39
2005-09-16,29.34
2005-09-17,29.34
2005-09-18,29.34
2005-09-19,29.61
2005-09-20,29.3
2005-09-21,28.88
2005-09-22,27.03
2005-09-23,27.78
2005-09-24,27.78
2005-09-25,27.78
2005-09-26,26.86
2005-09-27,26.29
2005-09-28,26.14
2005-09-29,26.56
2005-09-30,26.51
2005-10-01,26.51
2005-10-02,26.51
2005-10-03,26.51
2005-10-04,26.51
2005-10-05,26.51
2005-10-06,26.51
2005-10-07,26.51
2005-10-08,26.51
2005-10-09,26.51
2005-10-10,26.09
2005-10-11,26.66
2005-10-12,26.83
2005-10-13,26.6
2005-10-14,26.25
2005-10-15,26.25
2005-10-16,26.25
2005-10-17,26.09
2005-10-18,26.42
2005-10-19,26.21
2005-10-20,26.3
2005-10-21,26.47
2005-10-22,26.47
2005-10-23,26.47
2005-10-24,26.89
2005-10-25,26.32
2005-10-26,25.71
2005-10-27,25.52
2005-10-28,24.95
2005-10-29,24.95
2005-10-30,24.95
2005-10-31,25.42
2005-11-01,25.61
2005-11-02,26.04
2005-11-03,25.7
