date,ism_manufacturing_pmi
2021-06-01,61.2
2021-07-01,60.6
2021-08-02,59.5
2021-09-01,59.9
2021-10-01,61.1
2021-11-01,60.8
2021-12-01,61.1
2022-01-04,58.7
2022-02-01,57.6
2022-03-01,58.6
2022-04-01,57.1
2022-05-02,55.4
2022-06-01,56.1
2022-07-01,53.0
2022-08-01,52.8
2022-09-01,52.8
2022-10-03,50.9
2022-11-01,50.2
2022-12-01,49.0
2023-01-04,48.4
2023-02-01,47.4
2023-03-01,47.7
2023-04-03,46.3
2023-05-01,47.1
2023-06-01,46.9
2023-07-03,46.0
2023-08-01,46.4
2023-09-01,47.6
2023-10-02,49.0
2023-11-01,46.7
2023-12-01,46.7
2024-01-03,47.4
2024-02-01,49.1
2024-03-01,47.8
2024-04-01,50.3
2024-05-01,49.2
2024-06-03,48.7
2024-07-01,48.5
2024-08-01,46.8
2024-09-03,47.2
2024-10-01,47.2
2024-11-01,46.5
2024-12-02,48.4
2025-01-03,49.3
2025-02-03,50.9
2025-03-03,50.3
2025-04-01,49.0
2025-05-01,48.7
2025-06-02,48.5
2025-07-01,49.0
2025-08-01,48.0
2025-09-02,48.7
