date,ism_services_pmi
2021-06-03,64.0
2021-07-06,60.1
2021-08-04,64.1
2021-09-03,61.7
2021-10-05,61.9
2021-11-03,66.7
2021-12-03,69.1
2022-01-06,62.0
2022-02-03,59.9
2022-03-03,56.5
2022-04-05,58.3
2022-05-04,57.1
2022-06-03,55.9
2022-07-06,55.3
2022-08-03,56.7
2022-09-06,56.9
2022-10-05,56.7
2022-11-03,54.4
2022-12-05,56.5
2023-01-06,49.6
2023-02-03,55.2
2023-03-03,55.1
2023-04-05,51.2
2023-05-03,51.9
2023-06-05,50.3
2023-07-06,53.9
2023-08-03,52.7
2023-09-06,54.5
2023-10-04,53.6
2023-11-03,51.8
2023-12-05,52.7
2024-01-05,50.6
2024-02-05,53.4
2024-03-05,52.6
2024-04-03,51.4
2024-05-03,49.4
2024-06-05,53.8
2024-07-03,48.8
2024-08-05,51.4
2024-09-05,51.5
2024-10-03,54.9
2024-11-05,56.0
2024-12-04,52.1
2025-01-07,54.1
2025-02-05,52.8
2025-03-05,53.5
2025-04-03,50.8
2025-05-05,51.6
2025-06-04,49.9
2025-07-03,50.8
2025-08-05,50.1
2025-09-04,52.0
