date,consumer_confidence_proxy
2021-05-25,117.2
2021-06-29,127.3
2021-07-27,129.1
2021-08-31,113.8
2021-09-28,109.3
2021-10-26,113.8
2021-11-30,109.5
2021-12-22,115.8
2022-01-25,113.8
2022-02-22,110.5
2022-03-29,107.2
2022-04-26,107.3
2022-05-31,106.4
2022-06-28,98.7
2022-07-26,95.7
2022-08-30,103.2
2022-09-27,108.0
2022-10-25,102.5
2022-11-29,100.2
2022-12-21,108.3
2023-01-31,107.1
2023-02-28,102.9
2023-03-28,104.2
2023-04-25,101.3
2023-05-30,102.3
2023-06-27,109.7
2023-07-25,117.0
2023-08-29,106.1
2023-09-26,103.0
2023-10-31,102.6
2023-11-28,102.0
2023-12-20,110.7
2024-01-30,114.8
2024-02-27,106.7
2024-03-26,104.7
2024-04-30,97.0
2024-05-28,102.0
2024-06-25,100.4
2024-07-30,100.3
2024-08-27,103.3
2024-09-24,98.7
2024-10-29,108.7
2024-11-26,111.7
2024-12-23,104.7
2025-01-28,104.1
2025-02-25,98.3
2025-03-25,92.9
2025-04-29,86.0
2025-05-27,98.0
2025-06-24,93.0
2025-07-29,97.2
2025-08-26,97.4
