date,nfp_change_k,unemployment_rate
2021-06-01,,5.9
2021-07-01,94.2,5.4
2021-08-01,55.2,5.1
2021-09-01,45.7,4.7
2021-10-01,80.1,4.5
2021-11-01,65.8,4.1
2021-12-01,58.6,3.9
2022-01-01,19.0,4.0
2022-02-01,81.9,3.9
2022-03-01,49.0,3.7
2022-04-01,30.8,3.7
2022-05-01,30.1,3.6
2022-06-01,43.4,3.6
2022-07-01,71.4,3.5
2022-08-01,29.0,3.6
2022-09-01,22.0,3.5
2022-10-01,35.7,3.6
2022-11-01,30.3,3.6
2022-12-01,10.0,3.5
2023-01-01,43.4,3.5
2023-02-01,29.0,3.6
2023-03-01,6.8,3.5
2023-04-01,24.1,3.4
2023-05-01,28.0,3.6
2023-06-01,22.5,3.6
2023-07-01,16.3,3.5
2023-08-01,21.8,3.7
2023-09-01,15.6,3.7
2023-10-01,15.9,3.9
2023-11-01,12.7,3.7
2023-12-01,15.4,3.8
2024-01-01,17.5,3.7
2024-02-01,20.6,3.9
2024-03-01,22.8,3.9
2024-04-01,6.4,3.9
2024-05-01,7.8,3.9
2024-06-01,8.7,4.1
2024-07-01,5.3,4.2
2024-08-01,0.9,4.2
2024-09-01,15.5,4.1
2024-10-01,3.3,4.1
2024-11-01,13.4,4.2
2024-12-01,23.7,4.1
2025-01-01,-4.8,4.0
2025-02-01,4.2,4.2
2025-03-01,6.7,4.2
2025-04-01,10.8,4.2
2025-05-01,1.3,4.3
2025-06-01,-2.0,4.1
2025-07-01,6.4,4.3
2025-08-01,-7.0,4.3
2025-09-01,7.6,4.4
2025-10-01,-14.0,
2025-11-01,4.1,4.5
2025-12-01,-1.7,4.4
2026-01-01,16.0,4.3
2026-02-01,-15.6,4.4
2026-03-01,18.5,4.3
2026-04-01,11.5,4.3
