date,dxy
2000-01-03,95.4006
2000-01-04,95.2533
2000-01-05,95.2923
2000-01-06,95.6976
2000-01-07,95.7226
2000-01-10,96.013
2000-01-11,95.8906
2000-01-12,95.9215
2000-01-13,95.8763
2000-01-14,96.374
2000-01-17,96.374
2000-01-18,96.3177
2000-01-19,96.3409
2000-01-20,96.1362
2000-01-21,96.0506
2000-01-24,96.4043
2000-01-27,96.7043
2000-01-28,98.1014
2000-01-31,98.1875
2000-02-01,98.2741
2000-02-02,98.262
2000-02-03,97.7055
2000-02-04,98.26
2000-02-07,98.4026
2000-02-08,98.2117
2000-02-09,97.8679
2000-02-10,98.1175
2000-02-11,98.357
2000-02-14,98.6074
2000-02-15,98.4896
2000-02-16,98.4008
2000-02-17,98.5082
2000-02-18,98.6996
2000-02-21,98.6996
2000-02-22,98.0872
2000-02-23,98.4584
2000-02-24,98.6428
2000-02-25,99.0934
2000-02-28,99.1071
2000-02-29,99.3725
2000-03-01,98.5024
2000-03-02,99.0617
2000-03-03,99.0601
2000-03-06,99.256
2000-03-07,98.9928
2000-03-08,99.1557
2000-03-09,98.6245
2000-03-10,98.7034
2000-03-13,98.6182
2000-03-14,98.6067
2000-03-15,98.683
2000-03-16,98.7312
2000-03-17,98.9251
2000-03-20,98.9133
2000-03-21,98.9062
2000-03-22,99.356
2000-03-23,99.1293
2000-03-24,98.727
2000-03-27,98.9124
2000-03-28,98.5929
2000-03-29,98.9005
2000-03-30,98.6095
2000-03-31,98.0581
2000-04-03,98.5386
2000-04-04,98.5379
2000-04-05,98.3072
2000-04-06,98.4958
2000-04-07,98.6818
2000-04-10,98.9967
2000-04-11,99.1377
2000-04-12,99.0281
2000-04-13,99.183
2000-04-14,99.1207
2000-04-17,99.1763
2000-04-18,99.534
2000-04-19,99.8308
2000-04-20,99.8418
2000-04-21,99.9819
2000-04-24,99.8809
2000-04-25,100.2533
2000-04-26,100.7377
2000-04-27,101.3315
2000-04-28,101.8348
2000-05-01,101.8361
2000-05-02,102.0844
2000-05-03,102.9869
2000-05-04,102.9492
2000-05-05,102.9486
2000-05-08,102.9615
2000-05-09,102.8565
2000-05-10,102.6612
2000-05-11,102.7821
2000-05-12,102.4121
2000-05-15,102.4962
2000-05-16,102.8356
2000-05-17,103.6872
2000-05-18,103.4612
2000-05-19,102.9651
2000-05-22,102.6719
2000-05-23,102.8612
2000-05-24,102.8991
2000-05-25,102.9404
2000-05-26,101.8204
2000-05-29,101.8204
2000-05-30,101.5656
2000-05-31,101.685
2000-06-01,101.8572
2000-06-02,100.8609
2000-06-05,100.5135
2000-06-06,99.667
2000-06-07,99.5296
2000-06-08,99.9508
2000-06-09,100.1414
2000-06-12,99.9855
2000-06-13,99.5741
2000-06-14,99.73
2000-06-15,99.9513
2000-06-16,99.3094
2000-06-19,99.2255
2000-06-20,99.5112
2000-06-21,100.0243
2000-06-22,99.9153
2000-06-23,100.3291
2000-06-26,100.573
2000-06-27,100.2847
2000-06-28,100.2369
2000-06-29,99.8039
2000-06-30,99.941
2000-07-03,99.8665
2000-07-04,99.8665
2000-07-05,100.3372
2000-07-06,100.3965
2000-07-07,100.5526
2000-07-10,100.2494
2000-07-11,100.2801
2000-07-12,101.0331
2000-07-13,101.2981
2000-07-14,101.1533
2000-07-17,101.3702
2000-07-18,101.3566
2000-07-19,101.651
2000-07-20,101.2245
2000-07-21,101.161
2000-07-24,101.0916
2000-07-25,100.8814
2000-07-26,100.8289
2000-07-27,101.2566
2000-07-28,101.8777
2000-07-31,102.0877
2000-08-01,102.2057
2000-08-02,102.2691
2000-08-03,102.603
2000-08-04,102.547
2000-08-07,102.4448
2000-08-08,102.7639
2000-08-09,102.694
2000-08-10,102.4677
2000-08-11,102.5872
2000-08-14,102.7976
2000-08-15,102.3592
2000-08-16,102.071
2000-08-17,101.977
2000-08-18,102.3424
2000-08-21,102.559
2000-08-22,102.8477
2000-08-23,102.8119
2000-08-24,102.5189
2000-08-25,102.5466
2000-08-28,102.543
2000-08-29,102.7634
2000-08-30,102.9007
2000-08-31,102.9534
2000-09-01,102.2838
2000-09-04,102.2838
2000-09-05,102.8908
2000-09-06,103.9045
2000-09-07,103.4581
2000-09-08,104.1357
2000-09-11,104.3483
2000-09-12,104.8045
2000-09-13,104.6238
2000-09-14,104.8996
2000-09-15,105.1092
2000-09-18,105.3444
2000-09-19,105.2996
2000-09-20,105.3593
2000-09-21,104.8384
2000-09-22,104.0067
2000-09-25,104.1647
2000-09-26,103.7887
2000-09-27,103.9635
2000-09-28,104.052
2000-09-29,104.0693
2000-10-02,104.5479
2000-10-03,104.7778
2000-10-04,104.8524
2000-10-05,104.9973
2000-10-06,105.0839
2000-10-09,105.0839
2000-10-10,104.8693
2000-10-11,104.6038
2000-10-12,104.9014
2000-10-13,105.451
2000-10-16,106.1941
2000-10-17,106.1032
2000-10-18,106.5157
2000-10-19,106.4528
2000-10-20,106.5662
2000-10-23,106.4344
2000-10-24,106.4892
2000-10-25,107.1413
2000-10-26,107.2995
2000-10-27,106.8033
2000-10-30,106.806
2000-10-31,106.5658
2000-11-01,105.9844
2000-11-02,106.0984
2000-11-03,105.8063
2000-11-06,105.9105
2000-11-07,105.9344
2000-11-08,106.3962
2000-11-09,106.3512
2000-11-10,106.2049
2000-11-13,106.2308
2000-11-14,106.497
2000-11-15,106.8182
2000-11-16,107.1154
2000-11-17,107.2945
2000-11-20,107.6548
2000-11-21,107.8702
2000-11-22,107.8467
2000-11-23,107.8467
2000-11-24,108.1873
2000-11-27,107.2672
2000-11-28,106.9844
2000-11-29,107.1346
2000-11-30,106.4385
2000-12-01,106.0817
2000-12-04,105.5935
2000-12-05,105.9078
2000-12-06,105.2538
2000-12-07,105.0339
2000-12-08,105.3091
2000-12-11,105.4365
2000-12-12,105.6687
2000-12-13,105.8613
2000-12-14,105.2311
2000-12-15,104.691
2000-12-18,105.0436
2000-12-19,105.2465
2000-12-20,104.5059
2000-12-21,104.1664
2000-12-22,103.7337
2000-12-25,103.7337
2000-12-26,103.5028
2000-12-27,103.558
2000-12-28,103.7572
2000-12-29,102.9824
2001-01-01,102.9824
2001-01-02,102.6554
2001-01-03,102.5145
2001-01-04,102.9134
2001-01-05,102.6745
2001-01-08,102.7489
2001-01-09,103.3505
2001-01-10,103.3661
2001-01-11,103.0002
2001-01-12,103.3015
2001-01-15,103.3015
2001-01-16,103.9013
2001-01-17,104.5379
2001-01-18,103.8759
2001-01-19,104.142
2001-01-22,103.8717
2001-01-23,103.8366
2001-01-24,104.8109
2001-01-25,104.6527
2001-01-26,104.7016
2001-01-29,104.6291
2001-01-30,104.0109
2001-01-31,103.9749
2001-02-01,103.2447
2001-02-02,103.457
2001-02-05,103.3897
2001-02-06,103.929
2001-02-07,104.0981
2001-02-08,104.9232
2001-02-09,104.7196
2001-02-12,104.8747
2001-02-13,105.216
2001-02-14,105.2549
2001-02-15,105.7099
2001-02-16,105.3787
2001-02-19,105.3787
2001-02-20,105.8325
2001-02-21,106.0628
2001-02-22,106.0827
2001-02-23,105.8993
2001-02-26,105.8843
2001-02-27,105.5642
2001-02-28,105.5054
2001-03-01,105.3731
2001-03-02,105.3944
2001-03-05,105.6446
2001-03-06,105.3646
2001-03-07,105.996
2001-03-08,105.8773
2001-03-09,105.7422
2001-03-12,106.0326
2001-03-13,106.7045
2001-03-14,107.0414
2001-03-15,107.8551
2001-03-16,108.7744
2001-03-19,108.5332
2001-03-20,108.0346
2001-03-21,108.8323
2001-03-22,109.3949
2001-03-23,108.7129
2001-03-26,108.3163
2001-03-27,108.8999
2001-03-28,108.8895
2001-03-29,109.5366
2001-03-30,110.1972
2001-04-02,110.232
2001-04-03,109.4892
2001-04-04,108.8729
2001-04-05,109.0829
2001-04-06,108.4323
2001-04-09,108.5087
2001-04-10,108.9253
2001-04-11,109.2331
2001-04-12,108.5774
2001-04-13,108.9352
2001-04-16,109.1221
2001-04-17,109.1582
2001-04-18,109.2129
2001-04-19,108.0985
2001-04-20,107.4964
2001-04-23,107.845
2001-04-24,108.0699
2001-04-25,107.9156
2001-04-26,107.8824
2001-04-27,108.2881
2001-04-30,108.4128
2001-05-01,107.7283
2001-05-02,107.676
2001-05-03,107.8002
2001-05-04,107.5973
2001-05-07,107.8113
2001-05-08,108.3222
2001-05-09,108.4249
2001-05-10,108.71
2001-05-11,109.0624
2001-05-14,109.327
2001-05-15,109.0071
2001-05-16,108.5885
2001-05-17,108.3561
2001-05-18,108.7009
2001-05-21,108.5517
2001-05-22,109.312
2001-05-23,109.2799
2001-05-24,109.5237
2001-05-25,109.48
2001-05-28,109.48
2001-05-29,109.3613
2001-05-30,109.4176
2001-05-31,109.8213
2001-06-01,109.6113
2001-06-04,109.7926
2001-06-05,109.6113
2001-06-06,109.8652
2001-06-07,109.4481
2001-06-08,109.6323
2001-06-11,110.2412
2001-06-12,110.0726
2001-06-13,109.5516
2001-06-14,109.1481
2001-06-15,109.2628
2001-06-18,109.6478
2001-06-19,109.8983
2001-06-20,110.2086
2001-06-21,109.9707
2001-06-22,109.8997
2001-06-25,109.463
2001-06-26,109.2446
2001-06-27,109.3848
2001-06-28,110.4177
2001-06-29,110.2966
2001-07-02,110.1849
2001-07-03,110.1212
2001-07-04,110.1212
2001-07-05,110.8766
2001-07-06,110.5894
2001-07-09,110.5011
2001-07-10,110.1143
2001-07-11,109.6594
2001-07-12,110.1586
2001-07-13,110.5779
2001-07-16,110.5805
2001-07-17,110.4724
2001-07-18,109.3983
2001-07-19,109.4515
2001-07-20,109.2267
2001-07-23,109.7249
2001-07-24,109.1692
2001-07-25,108.8576
2001-07-26,108.9504
2001-07-27,108.9609
2001-07-30,109.205
2001-07-31,109.1777
2001-08-01,108.9577
2001-08-02,108.7832
2001-08-03,108.4798
2001-08-06,108.6446
2001-08-07,108.9122
2001-08-08,108.7682
2001-08-09,108.3479
2001-08-10,107.8987
2001-08-13,107.8001
2001-08-14,107.4434
2001-08-15,106.3965
2001-08-16,106.3354
2001-08-17,106.4573
2001-08-20,106.8139
2001-08-21,106.7641
2001-08-22,106.2394
2001-08-23,106.371
2001-08-24,106.6427
2001-08-27,106.758
2001-08-28,106.7091
2001-08-29,106.731
2001-08-30,106.3565
2001-08-31,106.6244
2001-09-03,106.6244
2001-09-04,107.9511
2001-09-05,108.1073
2001-09-06,107.886
2001-09-07,107.4443
2001-09-10,107.894
2001-09-11,107.894
2001-09-12,107.0679
2001-09-13,106.9668
2001-09-14,106.1551
2001-09-17,106.3405
2001-09-18,106.2435
2001-09-19,105.8613
2001-09-20,105.8905
2001-09-21,106.8038
2001-09-24,106.7045
2001-09-25,106.3403
2001-09-26,106.3906
2001-09-27,107.0698
2001-09-28,107.3094
2001-10-01,107.1928
2001-10-02,107.2483
2001-10-03,106.9582
2001-10-04,107.0906
2001-10-05,106.7608
