date,usd_cny_proxy
2021-05-10,6.4134
2021-05-11,6.4237
2021-05-12,6.4409
2021-05-13,6.4539
2021-05-14,6.436
2021-05-17,6.4421
2021-05-18,6.4229
2021-05-19,6.4358
2021-05-20,6.438
2021-05-21,6.432
2021-05-24,6.427
2021-05-25,6.4057
2021-05-26,6.3905
2021-05-27,6.3788
2021-05-28,6.3764
2021-05-31,6.3701
2021-06-01,6.3839
2021-06-02,6.3854
2021-06-03,6.3929
2021-06-04,6.4098
2021-06-07,6.3966
2021-06-08,6.3978
2021-06-09,6.3861
2021-06-10,6.393
2021-06-11,6.3933
2021-06-14,6.3987
2021-06-15,6.4009
2021-06-16,6.399
2021-06-17,6.4402
2021-06-18,6.4397
2021-06-21,6.4684
2021-06-22,6.475
2021-06-23,6.4759
2021-06-24,6.4672
2021-06-25,6.4551
2021-06-28,6.4586
2021-06-29,6.4615
2021-06-30,6.4576
2021-07-01,6.466
2021-07-02,6.4784
2021-07-05,6.4619
2021-07-06,6.466
2021-07-07,6.4642
2021-07-08,6.4903
2021-07-09,6.4795
2021-07-12,6.4758
2021-07-13,6.4672
2021-07-14,6.4568
2021-07-15,6.4615
2021-07-16,6.4712
2021-07-19,6.4885
2021-07-20,6.4803
2021-07-21,6.4731
2021-07-22,6.4673
2021-07-23,6.4778
2021-07-26,6.4839
2021-07-27,6.5029
2021-07-28,6.498
2021-07-29,6.4593
2021-07-30,6.4619
2021-08-02,6.462
2021-08-03,6.4634
2021-08-04,6.4613
2021-08-05,6.4603
2021-08-06,6.469
2021-08-09,6.4782
2021-08-10,6.4814
2021-08-11,6.4854
2021-08-12,6.4772
2021-08-13,6.48
2021-08-16,6.4766
2021-08-17,6.4795
2021-08-18,6.4809
2021-08-19,6.4895
2021-08-20,6.4994
2021-08-23,6.4849
2021-08-24,6.4772
2021-08-25,6.4784
2021-08-26,6.483
2021-08-27,6.4786
2021-08-30,6.4695
2021-08-31,6.4615
2021-09-01,6.467
2021-09-02,6.4581
2021-09-03,6.4484
2021-09-06,6.4574
2021-09-07,6.4646
2021-09-08,6.4578
2021-09-09,6.454
2021-09-10,6.4376
2021-09-13,6.4566
2021-09-14,6.4473
2021-09-15,6.4334
2021-09-16,6.4481
2021-09-17,6.4553
2021-09-20,6.4662
2021-09-21,6.47
2021-09-22,6.4669
2021-09-23,6.4569
2021-09-24,6.4684
2021-09-27,6.4634
2021-09-28,6.4594
2021-09-29,6.4653
2021-09-30,6.464
2021-10-01,6.4466
2021-10-04,6.4466
2021-10-05,6.4476
2021-10-06,6.4466
2021-10-07,6.4466
2021-10-08,6.4475
2021-10-11,6.4493
2021-10-12,6.4493
2021-10-13,6.442
2021-10-14,6.4371
2021-10-15,6.4354
2021-10-18,6.4303
2021-10-19,6.389
2021-10-20,6.3927
2021-10-21,6.3988
2021-10-22,6.3918
2021-10-25,6.3899
2021-10-26,6.3801
2021-10-27,6.3924
2021-10-28,6.3977
2021-10-29,6.3966
2021-11-01,6.3981
2021-11-02,6.3983
2021-11-03,6.3985
2021-11-04,6.3949
2021-11-05,6.403
2021-11-08,6.395
2021-11-09,6.391
2021-11-10,6.3909
2021-11-11,6.3955
2021-11-12,6.3808
2021-11-15,6.3819
2021-11-16,6.3887
2021-11-17,6.3777
2021-11-18,6.3833
2021-11-19,6.3905
2021-11-22,6.3819
2021-11-23,6.3898
2021-11-24,6.3894
2021-11-25,6.3865
2021-11-26,6.39
2021-11-29,6.3854
2021-11-30,6.3711
2021-12-01,6.3695
2021-12-02,6.376
2021-12-03,6.371
2021-12-06,6.3778
2021-12-07,6.3674
2021-12-08,6.348
2021-12-09,6.3756
2021-12-10,6.3704
2021-12-13,6.3643
2021-12-14,6.3627
2021-12-15,6.3657
2021-12-16,6.3676
2021-12-17,6.3755
2021-12-20,6.3765
2021-12-21,6.3714
2021-12-22,6.371
2021-12-23,6.371
2021-12-24,6.3678
2021-12-27,6.3726
2021-12-28,6.3683
2021-12-29,6.3695
2021-12-30,6.3729
2021-12-31,6.3524
2022-01-03,6.3561
2022-01-04,6.3768
2022-01-05,6.3687
2022-01-06,6.3798
2022-01-07,6.3781
2022-01-10,6.3729
2022-01-11,6.3739
2022-01-12,6.3658
2022-01-13,6.3607
2022-01-14,6.3535
2022-01-17,6.3494
2022-01-18,6.3528
2022-01-19,6.3467
2022-01-20,6.3447
2022-01-21,6.34
2022-01-24,6.3281
2022-01-25,6.3299
2022-01-26,6.322
2022-01-27,6.3675
2022-01-28,6.3617
2022-01-31,6.361
2022-02-01,6.361
2022-02-02,6.361
2022-02-03,6.3614
2022-02-04,6.361
2022-02-07,6.3604
2022-02-08,6.3671
2022-02-09,6.3628
2022-02-10,6.3574
2022-02-11,6.3558
2022-02-14,6.3571
2022-02-15,6.3437
2022-02-16,6.3402
2022-02-17,6.3377
2022-02-18,6.3273
2022-02-21,6.3354
2022-02-22,6.3279
2022-02-23,6.3178
2022-02-24,6.3246
2022-02-25,6.3149
2022-02-28,6.3104
2022-03-01,6.3127
2022-03-02,6.3167
2022-03-03,6.3196
2022-03-04,6.3194
2022-03-07,6.319
2022-03-08,6.317
2022-03-09,6.318
2022-03-10,6.3211
2022-03-11,6.336
2022-03-14,6.363
2022-03-15,6.3795
2022-03-16,6.3505
2022-03-17,6.3502
2022-03-18,6.3618
2022-03-21,6.3555
2022-03-22,6.3622
2022-03-23,6.3726
2022-03-24,6.3703
2022-03-25,6.3631
2022-03-28,6.3708
2022-03-29,6.3645
2022-03-30,6.3514
2022-03-31,6.342
2022-04-01,6.3618
2022-04-04,6.3631
2022-04-05,6.3618
2022-04-06,6.3625
2022-04-07,6.362
2022-04-08,6.3636
2022-04-11,6.3674
2022-04-12,6.3713
2022-04-13,6.3679
2022-04-14,6.3725
2022-04-19,6.3879
2022-04-20,6.4126
2022-04-21,6.4506
2022-04-22,6.502
2022-04-25,6.5511
2022-04-26,6.5427
2022-04-27,6.5555
2022-04-28,6.6172
2022-04-29,6.5883
2022-05-02,6.6085
2022-05-03,6.6085
2022-05-04,6.6085
2022-05-05,6.6185
2022-05-06,6.6704
2022-05-09,6.7133
2022-05-10,6.7242
2022-05-11,6.7178
2022-05-12,6.792
2022-05-13,6.7899
2022-05-16,6.792
2022-05-17,6.726
2022-05-18,6.7445
2022-05-19,6.7485
2022-05-20,6.6785
2022-05-23,6.647
2022-05-24,6.665
2022-05-25,6.6943
