feature,importance_score,importance_method,model_importance,importance_rank,model_rank
pe_pct_chg20,0.05059999999999999,Permutation,0.09896401583107482,1,1
pe_zscore,0.013600000000000011,Permutation,0.059548261760992635,2,3
pe_pct,0.006000000000000005,Permutation,0.041365485565179744,3,11
nasdaq_ma_ratio,0.003400000000000003,Permutation,0.04353530462851889,4,10
nasdaq_ret1,0.0030000000000000027,Permutation,0.016560497640980918,5,24
nasdaq_vol_ratio,0.0016000000000000014,Permutation,0.027278115434469747,6,21
dxy_ret5,0.001200000000000001,Permutation,0.02499672520392138,7,22
vix_zscore,0.0008000000000000007,Permutation,0.05732389564295516,8,4
nasdaq_ret60,0.0006000000000000005,Permutation,0.033820741159862014,9,16
vix_mom5,0.00040000000000000034,Permutation,0.020952129573422847,10,23
fear_index,-0.00020000000000000017,Permutation,0.03729165981294469,11,15
nasdaq_ma_ratio2,-0.0006000000000000005,Permutation,0.05302907443675377,12,5
nasdaq_ret5,-0.0010000000000000009,Permutation,0.02786851188863527,13,19
dxy_zscore,-0.0014000000000000013,Permutation,0.043932803681802475,14,9
dxy_ret20,-0.0028000000000000026,Permutation,0.02863752563374435,15,18
nasdaq_ret20,-0.0030000000000000027,Permutation,0.033803261019809176,16,17
vix_level,-0.003400000000000003,Permutation,0.06300622756445617,17,2
nasdaq_rsi,-0.0038000000000000035,Permutation,0.039002433925029396,18,14
dxy_trend,-0.008000000000000007,Permutation,0.040471556864826556,19,13
pe_x_nasdaq,-0.008200000000000008,Permutation,0.04446265434257684,20,7
vix_mom20,-0.008800000000000007,Permutation,0.02761835857271808,21,20
vix_term,-0.010000000000000009,Permutation,0.04079872444723258,22,12
vix_x_dxy,-0.010600000000000009,Permutation,0.05127259937061807,23,6
nasdaq_vol20,-0.01160000000000001,Permutation,0.04445943599747449,24,8
